Year,Title,Artist,Weeks,Rank
1961,Please Mr. Postman,The Marvelettes,23,7
1961,"Happy Birthday, Sweet Sixteen",Neil Sedaka,14,8
1961,Let There Be Drums,Sandy Nelson,16,9
1961,Can't Help Falling In Love,Elvis Presley With The Jordanaires,14,10
1961,Moon River,Henry Mancini And His Orchestra,26,11
1961,I Don't Know Why,Linda Scott,14,12
1961,When I Fall In Love,The Lettermen,14,13
1961,Unchain My Heart,Ray Charles and his Orchestra,12,14
1961,When The Boy In Your Arms (Is The Boy In Your Heart),Connie Francis,12,15
1961,Moon River,Jerry Butler,17,16
1961,'Til,The Angels,14,17
1961,Tonight,Ferrante & Teicher,13,18
1961,Big Bad John,Jimmy Dean,16,19
1961,White Christmas,Bing Crosby,13,20
1961,Gypsy Woman,The Impressions,15,21
1961,Revenge,Brook Benton,10,22
1961,There's No Other (Like My Baby),The Crystals,11,23
1961,Your Ma Said You Cried In Your Sleep Last Night,Kenny Dino,11,24
1961,Rock-A-Hula Baby,Elvis Presley With The Jordanaires,9,25
1961,I Know (You Don't Love Me No More),Barbara George,19,26
1961,Jingle Bell Rock,Bobby Rydell/Chubby Checker,7,27
1961,Fool #1,Brenda Lee,14,28
1961,Let's Twist Again,Chubby Checker,23,29
1961,Just Out Of Reach (Of My Two Open Arms),Solomon Burke,17,30
1961,Funny How Time Slips Away,Jimmy Elledge,14,31
1961,"Well, I Told You",The Chantels,9,32
1961,Small Sad Sam,Phil McLean,10,33
1961,The Little Drummer Boy,The Harry Simeone Chorale,0,34
1961,Jambalaya (On The Bayou),Fats Domino,7,35
1961,Town Without Pity,Gene Pitney,19,36
1961,Cotton Fields,The Highwaymen,18,37
1961,I Understand (Just How You Feel),The G-Clefs,16,38
1961,If You Gotta Make A Fool Of Somebody,James Ray,14,39
1961,Johnny Will,Pat Boone,10,40
1961,The Wanderer,Dion,18,41
1961,The Gypsy Rover,The Highwaymen,10,42
1961,Baby's First Christmas,Connie Francis,5,43
1961,Hey! Little Girl,Del Shannon,8,44
1961,Baby It's You,The Shirelles,14,45
1961,Poor Fool,Ike & Tina Turner,11,46
1961,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,15,47
1961,Little Altar Boy,Vic Dana,8,48
1961,Jingle Bell Rock,Bobby Helms,15,49
1961,Dear Lady Twist,Gary U.S. Bonds,16,50
1961,Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,8,51
1961,A Little Bitty Tear,Burl Ives,14,52
1961,Soothe Me,Sims Twins,8,53
1961,The Majestic,Dion,8,54
1961,Runaround Sue,Dion,14,55
1961,September In The Rain,Dinah Washington,11,56
1961,Crazy,Patsy Cline,11,57
1961,Rockin' Around The Christmas Tree,Brenda Lee,11,58
1961,Language Of Love,John D. Loudermilk,9,59
1961,Norman,Sue Thompson,16,60
1961,Turn On Your Love Light,Bobby Bland,10,61
1961,"Turn Around, Look At Me",Glen Campbell,10,62
1961,Irresistible You,Bobby Darin,13,63
1961,Pocketful Of Miracles,Frank Sinatra,8,64
1961,Twist-Her,Bill Black's Combo,9,65
1961,Do-Re-Mi,Lee Dorsey,9,66
1961,Up A Lazy River,Si Zentner And His Orchestra,9,67
1961,Maria,Roger Williams,8,68
1961,Flying Circle,Frank Slay And His Orchestra,9,69
1961,Letter Full Of Tears,Gladys Knight And The Pips,12,70
1961,It's All Because,Linda Scott,8,70
1961,Room Full Of Tears,The Drifters,5,72
1961,Dreamy Eyes,Johnny Tillotson,23,73
1961,Walkin' With My Angel,Bobby Vee,9,74
1961,Just Got To Know,Jimmy McCracklin,7,75
1961,She's Everything (I Wanted You To Be),Ral Donner,11,76
1961,Bristol Stomp,The Dovells,16,77
1961,It Will Stand,The Showmen,15,78
1961,Heartaches,The Marcels,12,79
1961,Tower Of Strength,Gene McDaniels,13,80
1961,Twistin' U.S.A.,Chubby Checker,3,81
1961,Unsquare Dance,The Dave Brubeck Quartet,6,82
1961,Multiplication,Bobby Darin,10,83
1961,Alvin's Harmonica,David Seville And The Chipmunks,15,84
1961,Please Come Home For Christmas,Charles Brown,2,85
1961,Let's Go Trippin',Dick Dale and The Del-Tones,9,86
1961,Pop Goes The Weasel,Anthony Newley,4,87
1961,The Peppermint Twist,Danny Peppermint and the Jumping Jacks,4,88
1961,I Could Have Loved You So Well,Ray Peterson,8,89
1961,Lost Someone,James Brown And The Famous Flames,12,90
1961,Go On Home,Patti Page,8,91
1961,Tuff,Ace Cannon,16,92
1961,Pushin' Your Luck,Sleepy King,3,93
1961,I Told The Brook,Marty Robbins,4,94
1961,Smoky Places,The Corsairs Featuring Jay Bird Uzzell,15,95
1961,Tears From An Angel,Troy Shondell,6,96
1961,Free Me,Johnny Preston,1,97
1961,I Need Some One,The Belmonts,4,98
1961,Santa & The Touchables,Dickie Goodman,1,99
1961,Ev'rybody's Cryin',Jimmie Beaumont,1,100
1962,Telstar,The Tornadoes,16,1
1962,Limbo Rock,Chubby Checker,23,2
1962,Bobby's Girl,Marcie Blane,16,3
1962,Go Away Little Girl,Steve Lawrence,17,4
1962,Big Girls Don't Cry,The 4 Seasons,16,5
1962,Return To Sender,Elvis Presley With The Jordanaires,16,6
1962,You Are My Sunshine,Ray Charles,12,7
1962,Release Me,Esther Phillips Little Esther,16,8
1962,Zip-A-Dee Doo-Dah,Bob B. Soxx And The Blue Jeans,13,9
1962,Hotel Happiness,Brook Benton,12,10
1962,Pepino The Italian Mouse,Lou Monte,10,11
1962,Keep Your Hands Off My Baby,Little Eva,12,12
1962,Dear Lonely Hearts,Nat King Cole,11,13
1962,Tell Him,The Exciters,13,14
1962,The Lonely Bull (El Solo Torro),The Tijuana Brass,14,15
1962,Don't Hang Up,The Orlons,15,16
1962,Chains,The Cookies,12,17
1962,Love Came To Me,Dion,11,18
1962,Two Lovers,Mary Wells,13,19
1962,My Dad,Paul Petersen,16,20
1962,The Night Has A Thousand Eyes,Bobby Vee,14,21
1962,Ruby Ann,Marty Robbins,10,22
1962,Santa Claus Is Coming To Town,The 4 Seasons,3,23
1962,Wiggle Wobble,Les Cooper and the Soul Rockers,16,24
1962,Ride!,Dee Dee Sharp,13,25
1962,Rumors,Johnny Crawford,10,26
1962,Everybody Loves A Lover,The Shirelles,12,27
1962,The Little Drummer Boy,The Harry Simeone Chorale,0,28
1962,Up On The Roof,The Drifters,20,29
1962,It's Up To You,Rick Nelson,12,30
1962,Monsters' Holiday,Bobby Boris Pickett And The Crypt-Kickers,6,31
1962,Your Cheating Heart,Ray Charles,9,32
1962,(Dance With The) Guitar Man,Duane Eddy and the Rebelettes,16,33
1962,Shutters And Boards,Jerry Wallace,12,34
1962,Let's Go (pony),The Routers,13,35
1962,Comin' Home Baby,Mel Torme,11,36
1962,Desafinado,Stan Getz/Charlie Byrd,16,37
1962,White Christmas,Bing Crosby,13,38
1962,I Saw Linda Yesterday,Dickey Lee,12,39
1962,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,15,40
1962,The Push And Kick,Mark Valentino,9,41
1962,Let's Kiss And Make Up,Bobby Vinton,9,42
1962,Half Heaven - Half Heartache,Gene Pitney,12,43
1962,See See Rider,LaVern Baker,11,44
1962,Santa Claus Is Watching You,Ray Stevens,3,45
1962,Don't Make Me Over,Dionne Warwick,12,46
1962,He's A Rebel,The Crystals,18,47
1962,Spanish Lace,Gene McDaniels,9,48
1962,Trouble Is My Middle Name,Bobby Vinton,9,49
1962,Ten Little Indians,The Beach Boys,8,50
1962,I'm Gonna' Be Warm This Winter,Connie Francis,11,51
1962,Some Kinda Fun,Chris Montez,9,52
1962,The Love Of A Boy,Timi Yuro,8,53
1962,You Threw A Lucky Punch,Gene Chandler,8,54
1962,Coney Island Baby,The Excellents,9,55
1962,Jingle Bell Rock,Bobby Helms,15,56
1962,All Alone Am I,Brenda Lee,15,57
1962,Remember Then,The Earls,9,58
1962,Rockin' Around The Christmas Tree,Brenda Lee,11,59
1962,That's Life (That's Tough),Gabriel And The Angels,11,60
1962,Loop De Loop,Johnny Thunder,11,61
1962,Rainbow At Midnight,Jimmie Rodgers,7,62
1962,I Left My Heart In San Francisco,Tony Bennett,21,63
1962,Me And My Shadow,Frank Sinatra & Sammy Davis Jr.,6,64
1962,The Christmas Song (Merry Christmas To You),Nat King Cole,5,65
1962,Don't Go Near The Eskimos,Ben Colder,6,66
1962,My Coloring Book,Kitty Kallen,10,67
1962,The Ballad Of Jed Clampett,"Lester Flatt, Earl Scruggs & The Foggy Mountain Boys",11,68
1962,You've Really Got A Hold On Me,The Miracles,16,69
1962,I May Not Live To See Tomorrow,Brian Hyland,7,70
1962,Shake Sherry,The Contours,9,71
1962,Strange I Know,The Marvelettes,14,72
1962,Lovesick Blues,Frank Ifield,7,73
1962,My Wife Can't Cook,Lonnie Russ,8,74
1962,Cast Your Fate To The Wind,Vince Guaraldi Trio,18,75
1962,You're Gonna Need Me,Barbara Lynn,6,76
1962,Rudolph The Red Nosed Reindeer,David Seville And The Chipmunks,8,77
1962,Gonna Raise A Rukus Tonight,Jimmy Dean,6,78
1962,The Cinnamon Cinder (It's A Very Nice Dance),The Pastel Six,10,79
1962,My Coloring Book,Sandy Stewart,10,80
1962,Little Town Flirt,Del Shannon,14,81
1962,Echo,The Emotions,6,82
1962,From A Jack To A King,Ned Miller,13,83
1962,Wild Weekend,The Rebels,17,84
1962,Molly,Bobby Goldsboro,7,85
1962,Java,Floyd Cramer,11,86
1962,I Need You,Rick Nelson,4,87
1962,Trouble In Mind,Aretha Franklin,5,88
